Thu nhap binh quan theo dau nguoi mot thang theo gia hien hanh   ,,,,,,,,,
,,,,,,,,, don vi : 1000 dong
,2014,2016,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
ca nuoc ,2637,3098,3874,4295,4250,4205,4673,4962,5415
khu vuc ,,,,,,,,,
thanh thi,3964,4551,5624,6022,5590,5388,5945,6258,6890
nong thon ,2038,2423,2986,3399,3482,3486,3864,4170,4505
vung,,,,,,,,,
dong bang song hong ,3265,3883,4775,5191,5084,5026,5586,5981,6558
trung du và mien nui phia bac ,1613,1963,2452,2640,2745,2838,3170,3438,3759
 bac trung bo va duyen hai mien trung ,1982,2358,3014,3331,3405,3493,3967,4275,4648
tay nguyen ,2008,2366,2895,3095,2817,2856,3282,3548,3882
dong nam bo ,4125,4662,5792,6280,6024,5794,6334,6514,7075
dong bang song cuu long ,2327,2778,3585,3886,3874,3713,4077,4371,4753
